"Table 1. Per Capita Personal Income by County, 2012 - 2014",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period2,,
,Dollars,,,Rank in State,Percent change,,Rank in State
Deschutes,"39,033","39,992","41,675",6,2.5,4.2,27
Douglas,"32,547","32,724","34,521",25,0.5,5.5,17
Gilliam,"41,524","39,078","40,766",9,-5.9,4.3,25
Grant,"32,752","33,042","36,392",19,0.9,10.1,4
Harney,"31,500","32,111","35,720",22,1.9,11.2,3
Hood River,"39,850","39,566","41,177",8,-0.7,4.1,30
Jackson,"35,774","35,953","37,637",13,0.5,4.7,23
Jefferson,"28,638","28,994","30,757",35,1.2,6.1,12
Josephine,"31,419","31,877","33,577",32,1.5,5.3,18
Klamath,"31,297","31,531","33,356",33,0.7,5.8,13
Lake,"32,044","32,575","36,364",20,1.7,11.6,2
Lane,"35,391","35,777","37,374",14,1.1,4.5,24
Lincoln,"34,280","34,605","36,227",21,0.9,4.7,22
Linn,"31,783","32,430","34,239",29,2.0,5.6,15
Malheur,"26,216","25,543","27,661",36,-2.6,8.3,7
Marion,"33,210","33,746","35,614",24,1.6,5.5,16
Morrow,"38,072","38,492","42,033",5,1.1,9.2,5
Multnomah,"44,618","45,285","47,106",3,1.5,4.0,32
Polk,"32,070","32,911","34,296",28,2.6,4.2,28
Sherman,"56,661","56,613","58,011",1,-0.1,2.5,36
Tillamook,"33,124","33,861","36,564",16,2.2,8.0,8
Umatilla,"32,700","32,753","34,318",27,0.2,4.8,21
Union,"32,161","32,984","34,384",26,2.6,4.2,26
Wallowa,"37,436","38,469","41,663",7,2.8,8.3,6
Wasco,"36,330","36,353","38,974",11,0.1,7.2,9
Washington,"45,309","44,893","46,713",4,-0.9,4.1,31
Wheeler,"29,198","28,067","32,131",34,-3.9,14.5,1
Yamhill,"34,330","34,751","36,488",17,1.2,5.0,19
,,,,,,,
Pennsylvania,"45,781","46,028","47,679",--,0.5,3.6,--
Adams,"40,335","41,438","42,776",17,2.7,3.2,40
Allegheny,"52,438","52,252","53,976",6,-0.4,3.3,38
Armstrong,"39,113","39,296","40,683",25,0.5,3.5,33
Beaver,"39,701","39,901","41,084",23,0.5,3.0,50
Bedford,"34,218","34,433","35,330",60,0.6,2.6,63
Berks,"41,798","41,311","42,856",16,-1.2,3.7,26
Blair,"36,964","36,947","38,336",34,0.0,3.8,25
Bradford,"36,446","36,544","38,448",33,0.3,5.2,2
Bucks,"59,586","60,314","62,514",3,1.2,3.6,31
Butler,"47,829","47,580","49,004",7,-0.5,3.0,48
Cambria,"35,824","36,448","37,536",42,1.7,3.0,49
Cameron,"37,877","39,849","41,153",22,5.2,3.3,39
Carbon,"37,020","37,162","38,866",32,0.4,4.6,10
Centre,"38,171","38,544","39,973",26,1.0,3.7,27
Chester,"69,020","69,198","71,971",2,0.3,4.0,16
Clarion,"34,621","35,291","36,239",49,1.9,2.7,62
Clearfield,"36,933","37,107","38,245",36,0.5,3.1,44
Clinton,"33,993","34,292","35,917",56,0.9,4.7,7
Columbia,"35,262","35,428","36,209",50,0.5,2.2,66
Crawford,"33,418","33,994","35,046",61,1.7,3.1,43
Cumberland,"46,547","46,805","48,137",9,0.6,2.8,55
Dauphin,"43,597","44,202","45,453",10,1.4,2.8,57
Delaware,"53,051","53,446","55,313",4,0.7,3.5,36
Elk,"39,693","40,158","42,290",19,1.2,5.3,1
Erie,"37,455","37,276","38,200",37,-0.5,2.5,65
Fayette,"35,611","36,145","37,055",45,1.5,2.5,64
Forest,"21,761","22,257","23,209",67,2.3,4.3,13
Franklin,"38,074","38,616","39,972",27,1.4,3.5,35
Fulton,"33,621","34,074","35,779",58,1.3,5.0,4
Greene,"39,699","41,410","43,047",14,4.3,4.0,19
Huntingdon,"32,761","33,132","34,653",64,1.1,4.6,9
Indiana,"35,306","35,640","36,900",46,0.9,3.5,32
Jefferson,"35,087","35,094","36,094",53,0.0,2.8,54
Juniata,"33,698","35,212","36,607",47,4.5,4.0,18
Lackawanna,"39,926","39,624","41,187",21,-0.8,3.9,20
Lancaster,"39,422","40,121","41,712",20,1.8,4.0,17
Lawrence,"37,263","37,189","38,322",35,-0.2,3.0,45
Lebanon,"38,851","39,794","41,034",24,2.4,3.1,42
Lehigh,"42,750","43,346","45,211",12,1.4,4.3,12
Luzerne,"38,129","38,354","39,760",29,0.6,3.7,30
Lycoming,"37,724","38,173","39,766",28,1.2,4.2,14
McKean,"37,888","38,167","39,329",30,0.7,3.0,46
Mercer,"34,303","35,035","36,023",55,2.1,2.8,60
Mifflin,"31,580","32,384","33,621",66,2.5,3.8,24
Monroe,"33,092","34,657","36,297",48,4.7,4.7,8
Montgomery,"75,153","73,149","75,835",1,-2.7,3.7,28
Montour,"51,676","53,074","54,521",5,2.7,2.7,61
Northampton,"42,724","43,398","45,299",11,1.6,4.4,11
Northumberland,"34,811","35,402","36,172",51,1.7,2.2,67
Perry,"36,110","36,835","38,135",38,2.0,3.5,34
Philadelphia,"40,063","41,109","42,617",18,2.6,3.7,29
Pike,"36,770","37,182","39,078",31,1.1,5.1,3
Potter,"34,679","34,226","35,867",57,-1.3,4.8,6
Schuylkill,"35,802","36,325","37,839",40,1.5,4.2,15
Snyder,"34,449","35,091","36,084",54,1.9,2.8,58
Somerset,"34,763","34,617","35,615",59,-0.4,2.9,53
Sullivan,"34,417","35,979","37,752",41,4.5,4.9,5
Susquehanna,"35,633","36,389","37,459",43,2.1,2.9,52
Tioga,"32,804","33,303","34,360",65,1.5,3.2,41
Union,"32,629","33,707","34,666",63,3.3,2.8,56
Venango,"35,257","35,157","36,151",52,-0.3,2.8,59
Warren,"36,065","36,484","37,883",39,1.2,3.8,23
Washington,"46,250","46,838","48,258",8,1.3,3.0,47
Wayne,"33,603","33,643","34,962",62,0.1,3.9,21
Westmoreland,"43,445","42,974","44,425",13,-1.1,3.4,37
Wyoming,"35,903","35,881","37,270",44,-0.1,3.9,22
York,"41,923","41,807","43,037",15,-0.3,2.9,51
,,,,,,,
Rhode Island,"46,084","46,145","48,359",--,0.1,4.8,--
Bristol,"65,312","63,983","66,737",1,-2.0,4.3,5
Kent,"48,790","49,236","51,438",4,0.9,4.5,3
Newport,"54,819","54,966","57,488",2,0.3,4.6,2
Providence,"41,502","41,638","43,782",5,0.3,5.1,1
Washington,"52,154","51,870","54,128",3,-0.5,4.4,4
,,,,,,,
South Carolina,"35,461","35,472","36,677",--,0.0,3.4,--
Abbeville,"27,811","28,285","29,570",31,1.7,4.5,3
Aiken,"36,136","36,184","37,265",8,0.1,3.0,28
Allendale,"27,583","28,356","28,315",37,2.8,-0.1,45
Anderson,"32,586","32,966","34,228",17,1.2,3.8,11
Bamberg,"28,189","28,057","29,701",29,-0.5,5.9,1
Barnwell,"26,523","26,361","27,202",40,-0.6,3.2,24
Beaufort,"45,122","45,222","46,137",2,0.2,2.0,37
Berkeley,"33,837","33,611","34,810",16,-0.7,3.6,16
Calhoun,"34,572","35,051","35,642",14,1.4,1.7,40
Charleston,"48,404","46,450","47,843",1,-4.0,3.0,27
Cherokee,"27,061","27,284","28,230",38,0.8,3.5,17
Chester,"27,927","28,071","29,298",34,0.5,4.4,4
Chesterfield,"27,045","27,996","28,790",35,3.5,2.8,31
Clarendon,"25,764","26,739","27,112",41,3.8,1.4,42
Colleton,"29,661","30,400","31,966",24,2.5,5.2,2
Darlington,"31,022","32,212","32,840",21,3.8,1.9,38
Dillon,"24,027","24,327","24,674",45,1.2,1.4,41
Dorchester,"32,136","32,009","33,199",19,-0.4,3.7,14
Edgefield,"28,946","28,664","29,435",33,-1.0,2.7,33
Fairfield,"29,675","30,439","31,449",25,2.6,3.3,19
Florence,"35,095","35,355","36,380",10,0.7,2.9,30
Georgetown,"38,703","38,545","39,788",5,-0.4,3.2,23
Greenville,"39,399","39,340","40,791",3,-0.1,3.7,15
Greenwood,"31,324","31,626","32,913",20,1.0,4.1,9
Hampton,"26,820","26,735","27,216",39,-0.3,1.8,39
Horry,"30,639","31,008","31,973",23,1.2,3.1,26
Jasper,"23,033","23,747","24,301",46,3.1,2.3,35
Kershaw,"34,462","35,003","35,720",13,1.6,2.0,36
Lancaster,"32,674","33,880","34,936",15,3.7,3.1,25
Laurens,"28,564","28,893","30,131",27,1.2,4.3,6
Lee,"25,858","26,890","26,275",43,4.0,-2.3,46
Lexington,"38,263","38,639","39,935",4,1.0,3.4,18
McCormick,"29,814","29,817","31,092",26,0.0,4.3,7
Marion,"27,791","28,590","29,520",32,2.9,3.3,22
Marlboro,"23,383","24,569","24,717",44,5.1,0.6,44
Newberry,"32,247","32,861","33,686",18,1.9,2.5,34
Oconee,"34,387","34,650","35,794",12,0.8,3.3,20
Orangeburg,"28,454","28,878","29,691",30,1.5,2.8,32
Pickens,"30,670","31,248","32,419",22,1.9,3.7,13
Richland,"37,103","37,380","38,811",6,0.7,3.8,10
Saluda,"29,226","29,892","30,107",28,2.3,0.7,43
Spartanburg,"36,537","35,241","36,583",9,-3.5,3.8,12
Sumter,"34,723","35,042","36,077",11,0.9,3.0,29
Union,"27,121","27,541","28,673",36,1.5,4.1,8
Williamsburg,"25,566","25,938","26,792",42,1.5,3.3,21
York,"36,700","36,344","37,903",7,-1.0,4.3,5
,,,,,,,
South Dakota,"44,792","44,772","45,279",--,0.0,1.1,--
Aurora,"43,355","54,560","49,476",24,25.8,-9.3,54
Beadle,"46,444","47,057","47,818",28,1.3,1.6,30
Bennett,"29,586","29,212","33,094",58,-1.3,13.3,9
Bon Homme,"36,230","39,755","37,050",54,9.7,-6.8,47
Brookings,"40,687","39,984","41,416",49,-1.7,3.6,25
Brown,"49,580","46,558","46,712",30,-6.1,0.3,33
Brule,"40,890","49,799","48,032",25,21.8,-3.5,42
Buffalo,"28,702","24,971","27,017",63,-13.0,8.2,15
Butte,"30,855","31,138","34,310",57,0.9,10.2,13
Campbell,"45,132","52,574","47,868",27,16.5,-9.0,52
Charles Mix,"39,375","46,057","42,772",43,17.0,-7.1,49
Clark,"50,593","58,225","52,011",16,15.1,-10.7,58
Clay,"37,622","44,075","42,367",45,17.2,-3.9,45
Codington,"43,484","42,270","43,030",42,-2.8,1.8,29
Corson,"30,366","27,575","32,360",59,-9.2,17.4,7
Custer,"38,776","39,074","41,853",47,0.8,7.1,17
Davison,"44,330","46,979","47,551",29,6.0,1.2,31
Day,"43,705","45,305","44,401",37,3.7,-2.0,36
Deuel,"49,449","54,793","52,774",14,10.8,-3.7,44
Dewey,"35,247","34,299","39,664",52,-2.7,15.6,8
Douglas,"49,526","57,302","52,459",15,15.7,-8.5,51
Edmunds,"51,147","47,158","51,130",19,-7.8,8.4,14
Fall River,"39,770","38,401","42,492",44,-3.4,10.7,12
Faulk,"53,628","47,963","53,943",12,-10.6,12.5,11
Grant,"43,136","41,116","43,957",39,-4.7,6.9,18
Gregory,"38,501","42,035","39,947",51,9.2,-5.0,46
Haakon,"45,916","46,607","62,068",5,1.5,33.2,2
Hamlin,"39,129","37,638","35,045",56,-3.8,-6.9,48
Hand,"51,726","59,395","58,027",6,14.8,-2.3,38
Hanson,"58,249","68,926","62,354",4,18.3,-9.5,55
Harding,"51,848","47,089","57,828",7,-9.2,22.8,4
Hughes,"47,293","45,541","47,899",26,-3.7,5.2,22
Hutchinson,"47,901","57,451","50,840",20,19.9,-11.5,62
Hyde,"53,139","63,376","46,351",33,19.3,-26.9,65
Jackson,"26,107","24,359","28,927",62,-6.7,18.8,6
Jerauld,"50,779","56,380","51,291",18,11.0,-9.0,53
Jones,"54,777","70,444","57,624",8,28.6,-18.2,64
Kingsbury,"49,648","53,271","51,977",17,7.3,-2.4,40
Lake,"46,636","50,944","49,707",23,9.2,-2.4,39
Lawrence,"41,031","40,088","41,976",46,-2.3,4.7,23
Lincoln,"54,893","54,256","55,305",10,-1.2,1.9,28
Lyman,"42,595","52,615","36,902",55,23.5,-29.9,66
McCook,"49,844","56,957","50,071",21,14.3,-12.1,63
McPherson,"45,563","38,379","43,470",40,-15.8,13.3,10
Marshall,"49,080","46,360","46,534",31,-5.5,0.4,32
Meade,"48,385","43,312","45,943",34,-10.5,6.1,19
Mellette,"27,346","24,985","30,829",61,-8.6,23.4,3
Miner,"41,788","49,537","44,102",38,18.5,-11.0,59
Minnehaha,"47,329","45,121","46,398",32,-4.7,2.8,27
Moody,"47,027","50,097","44,445",36,6.5,-11.3,61
Oglala Lakota,"22,474","21,936","23,546",66,-2.4,7.3,16
Pennington,"40,819","40,271","41,440",48,-1.3,2.9,26
Perkins,"40,472","41,144","49,997",22,1.7,21.5,5
Potter,"78,785","79,550","84,194",2,1.0,5.8,20
Roberts,"35,351","33,286","32,145",60,-5.8,-3.4,41
Sanborn,"39,886","46,240","41,137",50,15.9,-11.0,60
Spink,"55,244","57,585","53,477",13,4.2,-7.1,50
Stanley,"58,095","63,438","56,839",9,9.2,-10.4,57
Sully,"88,179","83,971","87,019",1,-4.8,3.6,24
Todd,"22,953","22,672","23,923",65,-1.2,5.5,21
Tripp,"44,013","47,095","45,411",35,7.0,-3.6,43
Turner,"46,641","60,430","54,248",11,29.6,-10.2,56
Union,"81,189","79,865","78,030",3,-1.6,-2.3,37
Walworth,"42,768","43,153","43,066",41,0.9,-0.2,34
Yankton,"37,879","39,180","38,870",53,3.4,-0.8,35
Ziebach,"17,991","19,185","26,823",64,6.6,39.8,1
,,,,,,,
Tennessee,"39,137","39,312","40,457",--,0.4,2.9,--
Anderson,"39,245","39,047","40,361",9,-0.5,3.4,26
Bedford,"31,171","32,174","32,969",50,3.2,2.5,62
Benton,"31,382","31,822","32,659",52,1.4,2.6,58
Bledsoe,"21,503","20,379","21,432",95,-5.2,5.2,7
Blount,"35,882","36,023","37,085",18,0.4,2.9,44
Bradley,"37,358","38,444","39,715",11,2.9,3.3,29
Campbell,"29,090","29,634","30,473",67,1.9,2.8,48
Cannon,"31,825","33,156","34,218",40,4.2,3.2,32
Carroll,"32,399","33,178","33,184",48,2.4,0.0,89
Carter,"29,549","29,691","30,588",66,0.5,3.0,42
Cheatham,"35,209","35,885","37,122",17,1.9,3.4,23
Chester,"29,215","28,886","29,417",76,-1.1,1.8,75
Claiborne,"29,158","29,206","29,879",70,0.2,2.3,68
Clay,"32,412","32,742","34,471",36,1.0,5.3,5
Cocke,"26,670","27,490","28,236",81,3.1,2.7,55
Coffee,"35,611","35,871","37,295",16,0.7,4.0,13
Crockett,"34,524","36,772","36,472",24,6.5,-0.8,92
Cumberland,"31,179","31,940","33,039",49,2.4,3.4,24
Davidson,"52,658","52,193","54,307",2,-0.9,4.1,12
Decatur,"34,410","33,964","33,878",43,-1.3,-0.3,91
DeKalb,"31,789","31,657","32,681",51,-0.4,3.2,31
Dickson,"32,309","32,795","33,883",42,1.5,3.3,28
Dyer,"36,082","36,237","36,918",19,0.4,1.9,74
Fayette,"48,995","50,519","50,890",4,3.1,0.7,84
Fentress,"29,113","30,301","30,894",61,4.1,2.0,73
Franklin,"32,712","33,349","34,579",35,1.9,3.7,17
Gibson,"33,983","34,913","34,595",34,2.7,-0.9,93
Giles,"32,596","33,710","35,047",33,3.4,4.0,14
Grainger,"27,684","28,085","29,011",77,1.4,3.3,30
Greene,"34,074","35,077","36,098",27,2.9,2.9,45
Grundy,"27,073","27,726","27,927",83,2.4,0.7,85
Hamblen,"30,941","31,356","32,328",57,1.3,3.1,37
Hamilton,"42,870","42,695","44,112",6,-0.4,3.3,27
Hancock,"21,577","21,886","23,104",94,1.4,5.6,4
Hardeman,"25,615","26,667","27,011",86,4.1,1.3,81
Hardin,"34,137","34,453","35,383",31,0.9,2.7,56
Hawkins,"29,734","29,195","29,830",71,-1.8,2.2,71
Haywood,"29,283","32,107","29,707",72,9.6,-7.5,95
Henderson,"29,842","30,141","30,916",60,1.0,2.6,61
Henry,"33,610","35,952","36,345",25,7.0,1.1,82
Hickman,"25,541","26,065","26,982",87,2.1,3.5,21
Houston,"29,911","30,014","31,728",59,0.3,5.7,3
Humphreys,"32,366","32,611","34,278",38,0.8,5.1,8
Jackson,"32,072","33,345","34,379",37,4.0,3.1,36
Jefferson,"29,455","29,814","30,715",64,1.2,3.0,41
Johnson,"26,859","27,708","28,837",78,3.2,4.1,11
Knox,"42,290","41,752","43,012",7,-1.3,3.0,43
Lake,"22,736","24,800","23,582",93,9.1,-4.9,94
Lauderdale,"25,080","25,459","25,468",92,1.5,0.0,88
Lawrence,"28,573","29,444","29,950",69,3.0,1.7,76
Lewis,"25,779","26,666","28,071",82,3.4,5.3,6
Lincoln,"34,125","34,931","35,789",28,2.4,2.5,63
Loudon,"38,898","38,870","40,084",10,-0.1,3.1,35
McMinn,"31,104","31,638","32,606",53,1.7,3.1,39
McNairy,"27,053","27,406","27,774",84,1.3,1.3,80
Macon,"29,687","28,846","29,651",73,-2.8,2.8,51
Madison,"36,794","36,723","37,571",14,-0.2,2.3,66
Marion,"32,076","32,159","33,252",45,0.3,3.4,25
Marshall,"30,094","30,996","32,369",55,3.0,4.4,10
Maury,"35,221","35,802","36,646",22,1.6,2.4,65
Meigs,"31,030","31,316","33,223",46,0.9,6.1,1
Monroe,"27,993","28,386","29,449",74,1.4,3.7,15
Montgomery,"39,531","39,630","39,708",12,0.3,0.2,87
Moore,"33,500","34,381","36,474",23,2.6,6.1,2
Morgan,"26,364","26,765","27,205",85,1.5,1.6,77
Obion,"32,757","35,522","35,704",29,8.4,0.5,86
Overton,"26,579","27,314","28,279",80,2.8,3.5,18
Perry,"27,041","27,789","28,822",79,2.8,3.7,16
Pickett,"29,108","29,361","30,395",68,0.9,3.5,20
Polk,"28,635","29,242","30,603",65,2.1,4.7,9
Putnam,"32,713","33,135","34,077",41,1.3,2.8,47
Rhea,"29,868","30,024","30,823",62,0.5,2.7,57
Roane,"34,255","34,331","35,390",30,0.2,3.1,38
Robertson,"34,178","34,679","35,160",32,1.5,1.4,79
Rutherford,"35,008","35,221","36,194",26,0.6,2.8,53
Scott,"24,810","25,657","26,374",90,3.4,2.8,50
Sequatchie,"31,128","31,203","32,305",58,0.2,3.5,19
Sevier,"31,236","31,532","32,350",56,0.9,2.6,60
Shelby,"43,744","43,569","44,705",5,-0.4,2.6,59
Smith,"32,324","33,178","34,231",39,2.6,3.2,33
Stewart,"37,885","37,019","37,381",15,-2.3,1.0,83
Sullivan,"36,424","36,087","36,918",19,-0.9,2.3,69
Sumner,"37,832","37,729","38,813",13,-0.3,2.9,46
Tipton,"32,368","33,161","33,626",44,2.4,1.4,78
Trousdale,"48,386","51,767","53,567",3,7.0,3.5,22
Unicoi,"31,753","32,449","33,185",47,2.2,2.3,70
Union,"25,128","25,515","26,104",91,1.5,2.3,67
Van Buren,"25,769","26,118","26,648",88,1.4,2.0,72
Warren,"29,056","29,911","30,731",63,2.9,2.7,54
Washington,"36,215","36,005","36,859",21,-0.6,2.4,64
Wayne,"25,143","25,774","26,492",89,2.5,2.8,52
Weakley,"30,304","32,590","32,584",54,7.5,0.0,90
White,"28,406","28,562","29,430",75,0.5,3.0,40
Williamson,"69,451","69,555","71,761",1,0.1,3.2,34
Wilson,"39,677","40,092","41,214",8,1.0,2.8,49
,,,,,,,
Texas,"43,505","43,807","45,669",--,0.7,4.3,--
Anderson,"29,970","30,439","31,815",226,1.6,4.5,126
Andrews,"50,351","51,591","54,928",26,2.5,6.5,73
Angelina,"36,458","35,715","37,132",157,-2.0,4.0,163
Aransas,"41,450","42,143","43,292",87,1.7,2.7,215
Archer,"47,691","49,011","52,139",34,2.8,6.4,75
Armstrong,"37,967","42,655","43,290",88,12.3,1.5,229
Atascosa,"34,357","35,691","37,172",156,3.9,4.1,151
Austin,"46,448","44,821","46,741",64,-3.5,4.3,141
Bailey,"35,545","36,216","44,960",74,1.9,24.1,5
Bandera,"38,326","39,109","40,868",111,2.0,4.5,130
Bastrop,"28,986","29,230","30,383",234,0.8,3.9,165
Baylor,"36,316","37,293","41,473",105,2.7,11.2,25
Bee,"27,516","28,504","29,203",239,3.6,2.5,222
Bell,"40,029","39,307","40,007",126,-1.8,1.8,227
Bexar,"39,285","39,397","40,857",112,0.3,3.7,183
Blanco,"52,492","55,123","57,949",19,5.0,5.1,106
Borden,"55,915","54,067","48,928",50,-3.3,-9.5,251
Bosque,"35,447","36,824","38,229",143,3.9,3.8,172
Bowie,"35,396","34,616","35,795",177,-2.2,3.4,199
Brazoria,"40,114","40,839","42,519",95,1.8,4.1,154
Brazos,"30,912","31,419","32,740",215,1.6,4.2,150
Brewster,"36,876","38,201","40,576",117,3.6,6.2,83
Briscoe,"32,511","46,208","41,914",102,42.1,-9.3,250
Brooks,"33,607","34,113","36,606",159,1.5,7.3,55
Brown,"29,817","30,705","32,743",214,3.0,6.6,69
Burleson,"37,752","38,263","40,097",123,1.4,4.8,116
Burnet,"43,217","41,718","43,688",84,-3.5,4.7,121
Caldwell,"27,312","28,017","29,283",238,2.6,4.5,128
Calhoun,"34,275","37,147","39,013",138,8.4,5.0,109
Callahan,"33,504","34,417","36,138",171,2.7,5.0,111
Cameron,"23,921","24,317","25,211",250,1.7,3.7,186
Camp,"33,180","34,015","35,936",175,2.5,5.6,95
Carson,"40,523","45,893","44,901",75,13.3,-2.2,241
Cass,"32,624","32,336","33,870",200,-0.9,4.7,119
Castro,"43,827","42,887","52,974",32,-2.1,23.5,6
Chambers,"43,752","45,302","46,986",61,3.5,3.7,180
Cherokee,"30,734","31,192","32,422",220,1.5,3.9,166
Childress,"23,465","26,158","25,621",246,11.5,-2.1,240
Clay,"46,563","46,020","49,808",45,-1.2,8.2,42
Cochran,"36,825","44,871","45,610",68,21.8,1.6,228
Coke,"32,072","31,887","33,588",203,-0.6,5.3,102
Coleman,"33,313","33,680","35,709",178,1.1,6.0,84
Collin,"56,573","57,117","59,146",18,1.0,3.6,194
Collingsworth,"32,888","38,002","37,409",150,15.5,-1.6,239
Colorado,"41,993","43,336","45,389",71,3.2,4.7,120
Comal,"47,877","48,226","49,626",46,0.7,2.9,211
Comanche,"33,476","34,511","39,449",132,3.1,14.3,15
Concho,"21,834","23,461","23,920",252,7.5,2.0,225
Cooke,"49,619","53,985","56,631",21,8.8,4.9,113
Coryell,"32,206","31,740","32,678",217,-1.4,3.0,209
Cottle,"47,661","54,833","56,269",23,15.0,2.6,219
Crane,"44,873","44,015","45,308",72,-1.9,2.9,210
Crockett,"35,257","37,083","41,534",104,5.2,12.0,23
Crosby,"31,407","41,477","33,250",212,32.1,-19.8,253
Culberson,"32,577","34,882","36,353",163,7.1,4.2,148
Dallam,"51,855","54,464","60,007",16,5.0,10.2,31
Dallas,"50,300","50,385","52,406",33,0.2,4.0,159
Dawson,"31,060","35,596","33,539",205,14.6,-5.8,244
Deaf Smith,"35,582","34,477","40,652",114,-3.1,17.9,11
Delta,"32,039","33,539","35,889",176,4.7,7.0,58
Denton,"44,765","45,249","46,987",60,1.1,3.8,171
DeWitt,"41,270","43,980","47,470",55,6.6,7.9,48
Dickens,"26,947","27,320","29,421",237,1.4,7.7,50
Dimmit,"41,849","44,960","48,078",53,7.4,6.9,62
Donley,"32,295","41,567","39,130",136,28.7,-5.9,245
Duval,"35,981","37,601","39,800",128,4.5,5.8,89
Eastland,"66,706","64,440","68,513",7,-3.4,6.3,78
Ector,"43,804","43,493","47,069",59,-0.7,8.2,43
Edwards,"33,351","37,011","39,359",133,11.0,6.3,76
Ellis,"35,462","35,940","37,322",153,1.3,3.8,170
El Paso,"31,002","30,803","31,816",225,-0.6,3.3,202
Erath,"29,530","29,656","32,150",222,0.4,8.4,40
Falls,"29,510","31,180","33,517",207,5.7,7.5,52
Fannin,"31,340","32,385","33,958",199,3.3,4.9,114
Fayette,"43,090","44,359","47,200",58,2.9,6.4,74
Fisher,"37,269","46,038","42,920",92,23.5,-6.8,247
Floyd,"35,064","40,120","40,591",116,14.4,1.2,230
Foard,"32,085","38,534","40,967",109,20.1,6.3,80
Fort Bend,"51,876","52,767","54,753",27,1.7,3.8,177
Franklin,"35,898","36,266","38,688",141,1.0,6.7,68
Freestone,"33,982","34,100","36,255",167,0.3,6.3,79
Frio,"30,561","32,134","35,084",187,5.1,9.2,34
Gaines,"36,145","38,777","36,333",164,7.3,-6.3,246
Galveston,"44,866","45,123","46,917",62,0.6,4.0,162
Garza,"57,653","67,225","69,782",6,16.6,3.8,176
Gillespie,"49,809","48,771","51,224",40,-2.1,5.0,108
Glasscock,"58,194","75,251","65,970",9,29.3,-12.3,252
Goliad,"35,489","37,862","40,243",122,6.7,6.3,82
Gonzales,"34,650","36,893","41,629",103,6.5,12.8,19
Gray,"44,621","44,154","47,461",56,-1.0,7.5,53
Grayson,"35,044","35,710","37,034",158,1.9,3.7,182
Gregg,"48,110","47,867","49,913",44,-0.5,4.3,142
Grimes,"34,070","33,402","34,996",188,-2.0,4.8,117
Guadalupe,"35,995","37,110","38,439",142,3.1,3.6,192
Hale,"29,576","30,064","31,143",232,1.6,3.6,191
Hall,"30,480","39,096","36,054",174,28.3,-7.8,248
Hamilton,"45,164","47,525","50,220",43,5.2,5.7,94
Hansford,"67,748","63,593","75,035",3,-6.1,18.0,10
Hardeman,"34,342","35,685","37,222",155,3.9,4.3,138
Hardin,"40,413","40,453","43,262",89,0.1,6.9,60
Harris,"54,431","54,575","56,896",20,0.3,4.3,143
Harrison,"40,545","41,470","43,297",86,2.3,4.4,135
Hartley,"45,605","44,134","53,573",29,-3.2,21.4,7
Haskell,"34,885","37,216","36,268",166,6.7,-2.5,242
Hays,"33,579","33,769","34,959",189,0.6,3.5,196
Hemphill,"67,848","66,128","74,072",4,-2.5,12.0,22
Henderson,"32,677","33,639","35,086",186,2.9,4.3,139
Hidalgo,"22,658","22,970","23,753",253,1.4,3.4,198
Hill,"33,211","34,222","36,121",172,3.0,5.5,96
Hockley,"39,690","43,334","42,167",98,9.2,-2.7,243
Hood,"42,354","42,405","44,056",83,0.1,3.9,168
Hopkins,"33,075","34,261","36,572",160,3.6,6.7,65
Houston,"31,155","31,864","34,720",191,2.3,9.0,36
Howard,"34,893","35,239","36,313",165,1.0,3.0,207
Hudspeth,"25,256","25,698","27,317",244,1.8,6.3,81
Hunt,"31,716","32,005","33,312",210,0.9,4.1,155
Hutchinson,"39,220","39,023","40,463",120,-0.5,3.7,185
Irion,"48,218","57,086","60,959",13,18.4,6.8,64
Jack,"41,380","42,772","47,543",54,3.4,11.2,26
Jackson,"36,973","39,461","40,467",119,6.7,2.5,220
Jasper,"34,840","35,320","37,747",146,1.4,6.9,63
Jeff Davis,"31,333","32,987","34,495",194,5.3,4.6,125
Jefferson,"38,046","37,041","39,532",130,-2.6,6.7,67
Jim Hogg,"29,959","30,751","33,296",211,2.6,8.3,41
Jim Wells,"40,378","40,968","42,782",93,1.5,4.4,134
Johnson,"35,518","36,533","38,016",144,2.9,4.1,156
Jones,"27,470","28,868","28,720",241,5.1,-0.5,234
Karnes,"32,719","36,189","40,545",118,10.6,12.0,21
Kaufman,"35,322","35,978","37,348",151,1.9,3.8,174
Kendall,"64,078","64,398","65,960",10,0.5,2.4,223
Kenedy,"39,766","48,178","56,300",22,21.2,16.9,13
Kent,"37,126","38,262","44,827",76,3.1,17.2,12
Kerr,"41,750","42,626","44,059",82,2.1,3.4,200
Kimble,"39,787","39,885","41,000",107,0.2,2.8,214
King,"42,945","47,374","63,985",12,10.3,35.1,2
Kinney,"30,434","28,682","30,314",235,-5.8,5.7,93
Kleberg,"32,593","33,067","34,148",196,1.5,3.3,203
Knox,"34,824","39,112","39,229",135,12.3,0.3,233
Lamar,"35,114","35,992","37,540",149,2.5,4.3,140
Lamb,"32,847","35,189","36,248",168,7.1,3.0,208
Lampasas,"45,451","45,338","46,618",65,-0.2,2.8,213
La Salle,"36,397","40,965","45,591",69,12.6,11.3,24
Lavaca,"40,270","41,102","43,525",85,2.1,5.9,86
